,nombre,latitud,longitud,location,categoria,ciudad
0,Tuctucbarcelona —Diseño Gráfico y Web—,41.38627347557645,2.1741852164268494,"{'type': 'Point', 'coordinates': [41.38627347557645, 2.1741852164268494]}",Diseño,Barcelona
3,Diseño Paginas Web Yá Barcelona,41.380311,2.169969,"{'type': 'Point', 'coordinates': [41.380311, 2.169969]}",Diseño,Barcelona
4,"RC2 Ingenieria y Diseño, S.L",41.39063818034419,2.1743059158325195,"{'type': 'Point', 'coordinates': [41.39063818034419, 2.1743059158325195]}",Diseño,Barcelona
6,Dulce Diseño El Born,41.38811880145053,2.1785008907318115,"{'type': 'Point', 'coordinates': [41.38811880145053, 2.1785008907318115]}",Diseño,Barcelona
7,Socialweb Diseño Web Barcelona,41.37783703320539,2.129298448562622,"{'type': 'Point', 'coordinates': [41.37783703320539, 2.129298448562622]}",Diseño,Barcelona
8,Red. Asociación De Diseño,41.396337,2.167923,"{'type': 'Point', 'coordinates': [41.396337, 2.167923]}",Diseño,Barcelona
9,Dulce Diseño,41.359225903557494,2.1293427589666014,"{'type': 'Point', 'coordinates': [41.359225903557494, 2.1293427589666014]}",Diseño,Barcelona
10,Ofita Diseño,41.396945320457235,2.160990002536531,"{'type': 'Point', 'coordinates': [41.396945320457235, 2.160990002536531]}",Diseño,Barcelona
12,Aktiva - Agencia de diseño,41.38036,2.153139,"{'type': 'Point', 'coordinates': [41.38036, 2.153139]}",Diseño,Barcelona
13,dulce diseño,41.402268,2.158632,"{'type': 'Point', 'coordinates': [41.402268, 2.158632]}",Diseño,Barcelona
14,Diseño Copernico,41.402586,2.143253,"{'type': 'Point', 'coordinates': [41.402586, 2.143253]}",Diseño,Barcelona
15,Dulce Diseño Vila de Gràcia,41.40220353263401,2.1587061882019043,"{'type': 'Point', 'coordinates': [41.40220353263401, 2.1587061882019043]}",Diseño,Barcelona
16,Modo. Arquitectura y Diseño,41.400688,2.157411,"{'type': 'Point', 'coordinates': [41.400688, 2.157411]}",Diseño,Barcelona
17,Centro de diseño de sonrisas,41.38069134947595,2.1496742360146275,"{'type': 'Point', 'coordinates': [41.38069134947595, 2.1496742360146275]}",Diseño,Barcelona
20,Cute and Cut - Peluquería y complementos de diseño,41.45359936944035,2.203270607781058,"{'type': 'Point', 'coordinates': [41.45359936944035, 2.203270607781058]}",Diseño,Barcelona
