,nombre,latitud,longitud,location,categoria,ciudad
7,Escuela Superior De Diseño,40.456287639408785,-3.7127197449656912,"{'type': 'Point', 'coordinates': [40.456287639408785, -3.7127197449656912]}",Diseño,Madrid
16,Estudio de diseño Juan Gatti,40.423439,-3.686265,"{'type': 'Point', 'coordinates': [40.423439, -3.686265]}",Diseño,Madrid
22,Flor Canela. Tienda De Diseño. Mercado Fuencarral,40.422942,-3.699797,"{'type': 'Point', 'coordinates': [40.422942, -3.699797]}",Diseño,Madrid
26,Vivero de Empresas de San Blas. Madrid Emprende,40.44647052853448,-3.612300189204136,"{'type': 'Point', 'coordinates': [40.44647052853448, -3.612300189204136]}",Diseño,Madrid
27,altura x estudio de diseño,40.40982069830136,-3.705907059330174,"{'type': 'Point', 'coordinates': [40.40982069830136, -3.705907059330174]}",Diseño,Madrid
0,Starbucks,40.44748872381242,-3.6930934929855574,"{'type': 'Point', 'coordinates': [40.44748872381242, -3.6930934929855574]}",Starbucks,Madrid
1,Starbucks,40.44772869759542,-3.6951754717412046,"{'type': 'Point', 'coordinates': [40.44772869759542, -3.6951754717412046]}",Starbucks,Madrid
2,Starbucks,40.455046,-3.693885,"{'type': 'Point', 'coordinates': [40.455046, -3.693885]}",Starbucks,Madrid
3,Starbucks,40.43296760669224,-3.6832201480865474,"{'type': 'Point', 'coordinates': [40.43296760669224, -3.6832201480865474]}",Starbucks,Madrid
4,Starbucks,40.4335639178076,-3.6868293595360973,"{'type': 'Point', 'coordinates': [40.4335639178076, -3.6868293595360973]}",Starbucks,Madrid
5,Starbucks,40.440273,-3.682125,"{'type': 'Point', 'coordinates': [40.440273, -3.682125]}",Starbucks,Madrid
6,Starbucks,40.424974636524,-3.684107212216363,"{'type': 'Point', 'coordinates': [40.424974636524, -3.684107212216363]}",Starbucks,Madrid
7,Starbucks,40.42014039388448,-3.702886033408268,"{'type': 'Point', 'coordinates': [40.42014039388448, -3.702886033408268]}",Starbucks,Madrid
8,Starbucks,40.425760357264515,-3.691781759262085,"{'type': 'Point', 'coordinates': [40.425760357264515, -3.691781759262085]}",Starbucks,Madrid
9,Starbucks,40.433353,-3.703958,"{'type': 'Point', 'coordinates': [40.433353, -3.703958]}",Starbucks,Madrid
10,Starbucks,40.421751918201934,-3.7083782102926905,"{'type': 'Point', 'coordinates': [40.421751918201934, -3.7083782102926905]}",Starbucks,Madrid
11,Starbucks,40.42906874005007,-3.7150786671568476,"{'type': 'Point', 'coordinates': [40.42906874005007, -3.7150786671568476]}",Starbucks,Madrid
12,Starbucks,40.41719516711848,-3.706118548830636,"{'type': 'Point', 'coordinates': [40.41719516711848, -3.706118548830636]}",Starbucks,Madrid
13,Starbucks,40.418038185194774,-3.699371513099982,"{'type': 'Point', 'coordinates': [40.418038185194774, -3.699371513099982]}",Starbucks,Madrid
14,Starbucks,40.426066801136066,-3.6756167469058876,"{'type': 'Point', 'coordinates': [40.426066801136066, -3.6756167469058876]}",Starbucks,Madrid
15,Starbucks,40.417539,-3.702775,"{'type': 'Point', 'coordinates': [40.417539, -3.702775]}",Starbucks,Madrid
